date,tournament,tournament_url,position,player,deck,decklist_url
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,7th,TradingonTilt,Affinity Stompy,https://www.mtggoldfish.com/deck/7630609
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,8th,Oceansoul92,Dimir Tempo,https://www.mtggoldfish.com/deck/7631391
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,8th,kohei1202,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7630585
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,1st,TheGrimLavamancer,Sneak and Show,https://www.mtggoldfish.com/deck/7628370
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,2nd,MeninooNey,UBRG,https://www.mtggoldfish.com/deck/7628378
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,3rd,RIDDLE0423,Dimir Tempo,https://www.mtggoldfish.com/deck/7628371
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,4th,kentaro_hokori,Dimir Tempo,https://www.mtggoldfish.com/deck/7628351
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,5th,ecobaronen,Jeskai Tempo,https://www.mtggoldfish.com/deck/7628355
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,6th,manohito,Oops! All Spells,https://www.mtggoldfish.com/deck/7628374
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,7th,einstein9998,Sultai Aluren,https://www.mtggoldfish.com/deck/7628362
2026-02-14,Legacy Challenge 32 2026-02-14,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-14,8th,_Batutinha_,Red Stompy,https://www.mtggoldfish.com/deck/7628350
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,1st,Harry1232,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7625077
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,2nd,wongdeck,Lands,https://www.mtggoldfish.com/deck/7625083
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,3rd,boryas,Doomsday,https://www.mtggoldfish.com/deck/7625076
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,4th,stu909090,Dimir Tempo,https://www.mtggoldfish.com/deck/7625086
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,5th,mei0024,Dimir Tempo,https://www.mtggoldfish.com/deck/7625080
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,6th,TonyScapone,Coveted Jewel Combo,https://www.mtggoldfish.com/deck/7625081
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,7th,mechrataal,Dimir Tempo,https://www.mtggoldfish.com/deck/7625079
2026-02-11,Legacy Challenge 32 2026-02-11,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-11,8th,musasabi,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7625074
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,1st,SiL3nTGoaT,Red Stompy,https://www.mtggoldfish.com/deck/7620396
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,1st,SiL3nTGoaT,Red Stompy,https://www.mtggoldfish.com/deck/7619011
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,2nd,Imiak,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7620386
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,2nd,azmyk1231,Izzet Delver,https://www.mtggoldfish.com/deck/7618994
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,3rd,unstar,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7620393
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,3rd,Stardustpigeon,Lands,https://www.mtggoldfish.com/deck/7619015
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,4th,giabella,Izzet Delver,https://www.mtggoldfish.com/deck/7620398
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,4th,xDingusKhan,Oops! All Spells,https://www.mtggoldfish.com/deck/7618996
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,5th,hermanomlg,Red Stompy,https://www.mtggoldfish.com/deck/7620382
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,5th,DominiqueTutor,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7618989
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,6th,FarmerLGG,Death and Taxes (Yorion) - Orzhov,https://www.mtggoldfish.com/deck/7620377
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,6th,MyPotatoes,LED Dredge,https://www.mtggoldfish.com/deck/7619009
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,7th,Srogers90,Lands,https://www.mtggoldfish.com/deck/7620376
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,7th,Matiuzzzo,UBG,https://www.mtggoldfish.com/deck/7619010
2026-02-08,Legacy Challenge 32 2026-02-08 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08-1,8th,MahfuzVanGogh,LED Dredge,https://www.mtggoldfish.com/deck/7620381
2026-02-08,Legacy Challenge 32 2026-02-08,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-08,8th,kyataoka,Omni-Tell,https://www.mtggoldfish.com/deck/7619004
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,1st,ReformedPaolo,Dimir Tempo,https://www.mtggoldfish.com/deck/7617882
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,1st,Matiuzzzo,UBG,https://www.mtggoldfish.com/deck/7616956
2026-02-07,Legacy Challenge 32 2026-02-07 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07-1,2nd,vegecookies,Cradle Control,https://www.mtggoldfish.com/deck/7617891
2026-02-07,Legacy Challenge 32 2026-02-07,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-07,2nd,romariovidal,Cradle Control,https://www.mtggoldfish.com/deck/7616935
